(962, 313, 'Zone3', 'Sud')
(128, 177, 'Zone3', 'Sud')
(127, 171, 'Zone3', 'Nord')
(128, 175, 'Zone3', 'Nord')
(128, 175, 'Zone3', 'Nord')
(134, 378, 'Zone3', 'Nord')
(743, 461, 'Zone3', 'Nord')
(127, 175, 'Zone3', 'Nord')
(721, 462, 'Zone3', 'Nord')
(120, 380, 'Zone3', 'Nord')
(129, 385, 'Zone3', 'Nord')
(126, 382, 'Zone3', 'Nord')
(131, 383, 'Zone3', 'Nord')
(136, 180, 'Zone3', 'Sud')
(136, 180, 'Zone3', 'Nord')
(353, 89, 'Zone3', 'Nord')
(127, 173, 'Zone3', 'Nord')
(108, 174, 'Zone3', 'Nord')
(98, 174, 'Zone3', 'Nord')
(107, 379, 'Zone3', 'Sud')
(126, 382, 'Zone3', 'Sud')
(136, 382, 'Zone3', 'Sud')
(115, 177, 'Zone3', 'Sud')
(124, 386, 'Zone3', 'Sud')
(135, 174, 'Zone3', 'Sud')
(123, 375, 'Zone3', 'Sud')
(119, 377, 'Zone3', 'Sud')
(119, 377, 'Zone3', 'Sud')
(120, 377, 'Zone3', 'Sud')
(116, 389, 'Zone3', 'Sud')
(127, 379, 'Zone3', 'Nord')
(127, 174, 'Zone3', 'Sud')
(127, 174, 'Zone3', 'Nord')
(127, 174, 'Zone3', 'Nord')
(132, 165, 'Zone3', 'Nord')
(124, 384, 'Zone3', 'Nord')
(123, 170, 'Zone3', 'Nord')
(119, 384, 'Zone3', 'Nord')
(107, 179, 'Zone3', 'Sud')
(643, 421, 'Zone3', 'Nord')
(667, 439, 'Zone3', 'Nord')
(669, 479, 'Zone3', 'Nord')
(685, 501, 'Zone3', 'Nord')
(722, 484, 'Zone3', 'Nord')
(684, 533, 'Zone3', 'Nord')
(686, 572, 'Zone3', 'Nord')
(687, 610, 'Zone3', 'Nord')
(687, 638, 'Zone3', 'Nord')
(132, 173, 'Zone3', 'Nord')
(714, 580, 'Zone3', 'Nord')
(725, 496, 'Zone3', 'Nord')
